,id,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,churn
0,37969,15780804,Ugorji,850.0,France,Male,42.0,5,0.0,2,1,1,105560.01,0
1,121427,15593974,Dickson,597.0,Germany,Male,46.0,9,112291.06,2,1,1,47410.06,0
2,151801,15655274,Teng,637.0,Germany,Male,35.0,3,145974.79,2,1,0,180934.67,0
3,149981,15645404,McWilliams,695.0,France,Male,39.0,8,0.0,1,1,0,162669.73,0
4,115198,15625881,Yobachi,695.0,France,Female,29.0,0,109109.89,1,1,0,120770.8,0
5,18182,15641085,Ritchie,580.0,France,Male,37.0,1,0.0,2,1,1,120586.29,0
6,120248,15693699,Ukaegbunam,677.0,France,Male,32.0,2,0.0,2,1,1,178028.3,0
7,143743,15802381,Chiu,619.0,France,Male,29.0,7,132436.56,1,0,0,171922.72,0
8,55028,15659428,H?,651.0,Germany,Male,34.0,10,96143.47,2,1,0,78650.95,0
9,160275,15807312,Ozerova,431.0,Germany,Male,28.0,9,154962.99,1,1,0,159334.93,1
10,61714,15679453,Hsieh,710.0,France,Female,42.0,5,0.0,1,1,0,51380.9,1
11,97008,15793949,Pagnotto,646.0,France,Female,27.0,8,0.0,2,1,0,168816.22,0
12,33,15624993,Ch'ien,753.0,France,Female,36.0,9,128518.98,1,1,0,44567.83,0
13,149858,15642996,L?,756.0,France,Female,34.0,1,0.0,2,1,1,173844.77,0
14,8787,15709232,McKay,586.0,Germany,Female,47.0,1,157099.47,2,1,1,65481.86,0
15,8838,15684951,He,542.0,France,Female,59.0,2,68892.77,2,1,1,7905.06,0
16,86723,15715951,Palerma,678.0,Spain,Male,43.0,7,113923.57,1,1,1,95710.53,0
17,112167,15762674,Tuan,674.0,France,Male,43.0,2,0.0,2,0,0,199808.7,0
18,135775,15746088,Oguejiofor,678.0,France,Female,46.0,8,0.0,2,1,1,71377.25,0
19,1414,15689786,Tsou,633.0,France,Female,49.0,0,0.0,1,0,0,178709.98,0
20,143499,15624729,Tsao,708.0,France,Male,27.0,0,197041.8,1,1,0,151912.49,0
21,113764,15651581,Clements,681.0,France,Male,38.0,6,0.0,2,1,1,80181.12,0
22,132609,15776404,Williamson,523.0,France,Male,44.0,2,123374.46,1,1,0,124906.59,1
23,124913,15697035,Hsieh,590.0,Germany,Female,49.0,5,141787.31,1,1,0,133535.29,1
24,38731,15725039,Brown,545.0,Spain,Male,31.0,6,155741.45,1,0,0,182884.14,0
25,63241,15799217,Horsley,659.0,France,Male,29.0,6,0.0,2,0,1,8982.75,0
26,130417,15773039,Brown,651.0,Spain,Female,37.0,5,0.0,2,1,0,91406.62,0
27,101697,15671387,Lu,754.0,Spain,Male,34.0,2,0.0,2,1,0,56517.48,0
28,55922,15642530,H?,710.0,France,Male,40.0,9,0.0,2,0,1,1528.4,0
29,45723,15607598,Milani,586.0,Germany,Male,33.0,3,81076.8,1,0,0,175373.46,0
30,157708,15597901,Y?,644.0,France,Male,29.0,1,0.0,2,1,1,91573.19,0
31,92908,15737339,T'ao,686.0,Spain,Male,43.0,1,142644.64,1,0,0,93716.38,0
32,47267,15609653,Biryukov,735.0,France,Male,31.0,3,116060.08,1,1,0,126281.84,0
33,98662,15741078,Genovese,692.0,Germany,Male,41.0,4,116922.25,1,1,0,168834.38,1
34,126289,15790455,Obialo,749.0,Spain,Female,39.0,2,0.0,1,1,1,93332.64,0
35,47544,15638607,Nwabugwu,742.0,Spain,Male,46.0,8,170840.08,1,0,0,107013.59,1
36,51367,15696989,Lo Duca,652.0,France,Female,39.0,6,0.0,1,1,0,24176.44,0
37,120606,15716357,Ch'eng,599.0,France,Male,41.0,4,145150.28,1,1,1,63687.06,0
38,92396,15782360,Bevan,521.0,France,Female,40.0,6,146408.68,2,1,0,72993.67,0
39,66103,15604576,Nwabugwu,762.0,France,Female,32.0,5,0.0,1,1,1,170819.08,0
40,128726,15800890,T'ien,809.0,France,Female,36.0,6,0.0,1,0,1,181204.5,1
41,126157,15643394,Palermo,571.0,France,Male,37.0,5,0.0,2,1,0,139469.11,0
42,6301,15611338,Kashiwagi,714.0,Spain,Male,30.0,4,76692.22,1,1,0,37605.9,1
43,94426,15702571,Hsia,582.0,Spain,Male,29.0,9,106911.55,1,0,0,88947.83,0
44,133469,15790757,Davidson,475.0,Spain,Female,32.0,1,119023.28,1,0,0,100816.29,1
45,146100,15594577,De Luca,590.0,Germany,Female,44.0,6,142802.02,1,1,0,192751.18,1
46,64369,15766552,Lo,686.0,Spain,Female,56.0,0,0.0,1,1,1,127939.19,0
47,85976,15690169,Ch'ien,673.0,France,Male,41.0,4,93844.97,1,1,1,170980.86,0
48,25110,15711446,Chukwuebuka,850.0,Spain,Female,35.0,5,0.0,2,1,1,199336.37,0
49,14238,15742238,Ch'ang,850.0,Spain,Male,41.0,4,0.0,2,0,0,36642.65,0
50,97846,15640686,Greco,700.0,France,Male,20.0,6,95872.86,1,1,0,98273.01,0
51,140460,15697948,Fanucci,713.0,France,Male,27.0,4,0.0,2,1,0,115288.24,0
52,97707,15812422,Ugorji,637.0,France,Male,43.0,4,0.0,2,0,1,102515.42,0
53,4831,15623668,Chidimma,677.0,France,Male,34.0,5,144773.29,1,1,0,141137.52,0
54,6716,15630106,Lu,652.0,Germany,Male,22.0,6,117325.53,1,1,0,143980.28,0
55,14567,15709459,Moore,648.0,Germany,Female,42.0,5,141525.55,2,1,1,171463.83,0
56,109453,15617304,Nwankwo,726.0,France,Male,29.0,4,0.0,1,1,0,115676.61,0
57,137557,15780039,Creswell,710.0,Spain,Male,35.0,7,0.0,2,1,0,171667.33,0
58,85373,15775293,Trevisano,774.0,Spain,Male,29.0,8,129398.01,1,1,1,47728.0,0
59,105337,15771750,Udinese,555.0,France,Male,41.0,1,0.0,1,1,0,198341.15,1
60,41851,15770554,Nnaife,628.0,Germany,Male,45.0,5,136623.19,1,0,1,57764.65,1
61,100042,15626578,Milne,614.0,Spain,Male,21.0,9,0.0,2,1,1,153237.59,0
62,100001,15596909,Palermo,611.0,France,Male,35.0,9,127331.46,2,1,1,96498.14,0
63,62735,15756148,Murphy,624.0,France,Female,33.0,3,0.0,2,1,0,183682.09,0
64,50997,15761477,Nwokezuike,671.0,France,Male,41.0,1,125877.24,1,1,1,94774.94,0
65,41046,15775294,Ukaegbunam,706.0,France,Female,51.0,3,0.0,2,1,1,59650.42,1
66,75903,15753976,Fanucci,706.0,France,Female,35.0,5,0.0,2,1,0,172363.39,0
67,142562,15681755,Hsueh,661.0,France,Female,24.0,2,0.0,2,1,0,62703.25,0
68,107594,15681480,Ch'iu,637.0,Germany,Male,32.0,1,121233.24,2,1,1,179516.57,0
69,24615,15585836,McGregor,588.0,Germany,Female,37.0,2,106920.15,1,1,1,26257.63,1
70,115856,15674533,Babbage,711.0,France,Female,37.0,1,0.0,2,1,0,143595.39,0
71,151427,15805764,Bellucci,635.0,France,Female,53.0,5,0.0,2,0,1,111307.98,0
72,89063,15652999,Hargreaves,709.0,France,Female,40.0,2,0.0,2,0,0,1408.58,0
73,115428,15727499,Boyle,666.0,Germany,Female,36.0,3,129118.5,1,0,0,139435.12,0
74,10251,15642063,White,602.0,France,Female,29.0,5,98897.1,1,0,1,79919.13,0
75,132030,15709295,Gray,733.0,Germany,Male,49.0,8,105961.68,2,1,0,70613.52,1
76,1009,15631603,Ponomaryova,709.0,France,Male,32.0,1,122889.88,1,1,1,26476.18,0
77,79099,15674880,Smith,850.0,Spain,Male,26.0,2,0.0,2,1,0,172576.43,0
78,109382,15664503,Fanucci,757.0,France,Male,53.0,4,0.0,2,1,1,116520.07,1
79,50360,15720644,Martin,789.0,Germany,Male,31.0,6,119962.55,1,0,0,118029.09,0
80,68833,15797900,Yobachi,574.0,France,Female,23.0,1,157841.53,1,1,1,145796.49,0
81,51011,15740237,Greco,516.0,Germany,Male,45.0,1,118097.87,1,1,0,62905.51,1
82,150261,15647292,Fanucci,754.0,France,Male,32.0,4,0.0,2,1,1,118913.53,0
83,43704,15575492,Kennedy,687.0,France,Female,41.0,4,0.0,2,1,0,171378.77,0
84,130693,15675896,Nkemjika,629.0,France,Male,31.0,7,0.0,2,1,0,141152.36,0
85,109939,15763798,Nwora,753.0,Germany,Female,34.0,2,143966.3,1,1,1,72957.96,0
86,19602,15773792,Nebechukwu,671.0,France,Male,39.0,9,0.0,2,1,1,100403.05,0
87,1727,15679663,Chubb,749.0,Germany,Male,49.0,8,110349.47,1,1,1,157891.83,1
88,153942,15612444,Manfrin,590.0,France,Male,28.0,3,0.0,2,1,0,146090.38,0
89,132272,15702470,Lucchesi,554.0,Germany,Male,35.0,9,105818.18,2,0,1,53445.17,0
